row,col,has_package,UP,DOWN,LEFT,RIGHT
6,9,False,-3.25,-3.04343,0.0,-3.0765
6,9,True,-0.55,-0.07973,0.0,-2.74323
6,10,False,-3.2,-3.1,-4.09321,-2.81872
6,10,True,-1.30272,-0.5,-0.46485,-0.6
6,11,False,-5.5461,0.0,-3.15,-3.05
6,11,True,-0.65,0.0,-0.55,-0.65
6,12,False,-3.95402,-2.00712,-3.1,-3.0
6,12,True,-0.7,1.2555,-0.6,-2.10307
6,13,False,-3.05,-2.95,-3.05,0.0
6,13,True,-1.45128,0.69919,0.34712,0.0
6,15,False,-3.93018,-1.28297,0.0,-0.70615
6,15,True,-1.85813,1.16291,0.0,-2.17222
6,16,False,-4.63837,-1.48774,-3.96588,1.24374
6,16,True,-2.47736,-0.97143,0.66358,-2.08086
6,17,False,-3.85938,0.43457,-3.32778,3.04895
6,17,True,-3.36646,-0.21784,-0.85,-2.18087
6,18,False,-1.25037,0.0,-2.47466,3.85
6,18,True,-2.52801,0.0,-0.9,-2.23003
6,19,False,0.0,3.48376,0.06678,2.51779
6,19,True,0.0,-0.17814,-0.49127,-3.42683
6,20,False,0.0,3.50497,-0.33875,9.05304
6,20,True,0.0,-0.4811,-0.56104,-2.3095
6,21,False,3.67229,6.80791,-0.48271,15.81411
6,21,True,-1.84744,-0.9061,-1.69151,-1.84744
6,22,False,5.18415,17.50444,6.69429,0.0
6,22,True,-2.13696,-1.1,-1.1,0.0
6,26,False,0.22076,3.30696,0.0,0.42595
6,26,True,-1.4,-1.3,0.0,-1.4
6,27,False,0.08482,3.77267,3.58605,0.0
6,27,True,-1.45,-1.35,-1.35,0.0
6,29,False,-8.22766,0.0,0.0,-3.32231
6,29,True,-1.55,0.0,0.0,-1.55
6,30,False,-4.35121,0.8315,-2.9719,-3.28996
6,30,True,-1.6,-1.5,-1.25712,-2.29312
6,31,False,-2.82491,0.0,0.48865,0.0
6,31,True,-2.34264,0.0,-1.2836,0.0
7,0,False,0.0,0.0,0.0,-3.55
7,0,True,0.0,0.0,0.0,-0.35
7,1,False,0.0,-3.5,-3.6,0.0
7,1,True,0.0,-0.3,-0.4,0.0
7,4,False,-3.45,-3.35,0.0,-3.78632
7,4,True,-1.44059,0.74047,0.0,-4.55069
7,5,False,-4.07584,-3.3,-3.4,-3.3
7,5,True,-1.86605,-0.18656,0.33804,-1.53441
7,6,False,-3.35,-3.16508,-3.35,-2.96728
7,6,True,-3.14192,0.42673,-0.78495,-0.35
7,7,False,-3.91166,-3.2,-3.9768,-3.15776
7,7,True,-1.56858,7.35569,-0.03816,-1.85626
7,8,False,0.0,-3.15,-3.25,-3.0117
7,8,True,0.0,0.60941,0.87981,-1.98827
7,9,False,-4.7907,-2.49108,-3.2,-2.84176
7,9,True,-2.69952,1.27791,-0.16311,-1.20368
7,10,False,-3.15,0.0,-4.00343,0.0
7,10,True,-0.55,0.0,-0.14993,0.0
7,12,False,-4.06778,-2.87988,0.0,-1.63331
7,12,True,-2.24734,1.17641,0.0,-1.98973
7,13,False,-3.0,-2.70478,-3.89997,-0.7885
7,13,True,-2.18389,0.02132,1.37463,-2.14059
7,14,False,0.0,-0.78527,-4.03921,-1.47417
7,14,True,0.0,0.35127,1.77494,-1.45015
7,15,False,-4.25646,-0.65144,-4.28153,-1.95168
7,15,True,-2.07759,1.64938,0.24752,-4.31171
7,16,False,-2.65491,1.59504,-4.29465,-0.03074
7,16,True,-2.68289,1.75763,1.60249,-2.60119
7,17,False,-2.11351,2.85252,-6.15465,0.0
7,17,True,-2.39257,1.69254,-1.50596,0.0
7,19,False,-1.30963,7.17479,0.0,4.78095
7,19,True,-2.413,1.19539,0.0,-2.06243
7,20,False,-0.94348,7.5849,0.43631,12.76005
7,20,True,-2.40824,-0.95,-0.08384,-3.17974
7,21,False,6.66332,11.9423,6.63204,18.29591
7,21,True,-2.3095,-0.66476,-0.73888,-1.79792
7,22,False,12.14802,33.22432,11.03898,14.63546
7,22,True,-1.15,-1.05,-1.0284,-2.12666
7,23,False,0.0,30.81264,13.87041,15.83757
7,23,True,0.0,0.19829,-1.1,-1.76601
7,24,False,0.0,22.12474,26.73972,5.28498
7,24,True,0.0,-0.28541,-0.78117,-3.07194
7,25,False,0.0,2.65618,17.15197,0.6491
7,25,True,0.0,-0.52518,-0.10844,-1.95399
7,26,False,-0.02931,6.45897,3.09023,0.08023
7,26,True,-1.35,-1.25,-0.9291,-1.98926
7,27,False,0.42637,2.16009,4.09637,0.45392
7,27,True,-1.4,-0.92058,-1.3,-1.4
7,28,False,0.0,2.6112,3.82678,0.0
7,28,True,0.0,-1.35,-0.85016,0.0
7,30,False,-3.38245,1.56701,0.0,0.0
7,30,True,-2.2436,-1.45,0.0,0.0
8,1,False,-3.55,-3.45,0.0,0.0
8,1,True,-0.35,-0.97687,0.0,0.0
8,3,False,0.0,0.0,0.0,-3.35
8,3,True,0.0,0.0,0.0,1.23939
8,4,False,-4.07584,0.0,-3.4,-3.3
8,4,True,-3.33354,0.0,-5.79405,3.72716
8,5,False,-3.35,-3.25,-4.02632,-3.25
8,5,True,-5.07654,38.42588,-0.24213,-1.9073
8,6,False,-3.96696,0.0,-4.2168,-3.15776
8,6,True,-1.93364,0.0,2.526,4.45052
8,7,False,-3.25,-2.80343,-4.15755,-2.86824
8,7,True,-2.39139,69.48822,1.33867,-2.10857
8,8,False,-4.10814,0.0,-4.05284,-2.70485
8,8,True,-3.25951,0.0,7.78789,-1.78331
8,9,False,-4.00343,-2.3936,-4.3437,0.0
8,9,True,-2.57128,30.5837,1.54148,0.0
8,11,False,0.0,-2.91016,0.0,-2.90109
8,11,True,0.0,26.01706,0.0,-2.33012
8,12,False,-4.08276,0.0,-4.18497,-2.56165
8,12,True,-2.23209,0.0,2.51929,-3.05782
8,13,False,-4.29064,-3.29112,-5.01612,-1.68214
8,13,True,-2.10966,-4.65877,1.07667,-2.85462
8,14,False,-3.16767,-2.5216,-4.8686,-0.96141
8,14,True,-1.62198,-1.79833,0.28246,-2.28834
8,15,False,-4.46583,0.0,-3.95269,2.85724
8,15,True,-1.67251,0.0,0.97002,-1.51573
8,16,False,-5.12083,2.79443,-3.06677,4.00221
8,16,True,-4.58823,-0.5515,1.69901,-1.40492
8,17,False,-2.65235,-0.12002,0.19103,4.07135
8,17,True,-3.0746,-2.20895,2.20239,-2.23754
8,18,False,0.0,0.0,0.30123,5.33289
8,18,True,0.0,0.0,1.65912,-2.2664
8,19,False,-1.02472,1.21672,0.18249,13.50812
8,19,True,-2.8176,-0.74643,0.79569,-1.64936
8,20,False,-0.02577,10.85691,5.80368,17.3554
8,20,True,-2.62533,-0.29185,-0.32784,-2.43173
8,21,False,11.58804,24.134,10.67909,33.89054
8,21,True,-1.92824,-1.96386,0.09265,-2.67032
8,22,False,25.09887,35.34323,25.38469,29.92122
8,22,True,-2.31958,0.00812,-0.75352,-1.94807
8,23,False,26.47194,31.08986,30.91448,26.50173
8,23,True,-2.17255,-0.58102,0.51331,-2.27122
8,24,False,19.24822,0.0,30.82389,10.9029
8,24,True,-1.76601,0.0,-7e-05,-2.96876
8,25,False,0.44686,-0.72613,19.8937,4.3962
8,25,True,-3.19924,-0.88902,-0.17015,-2.24654
8,26,False,-0.2155,3.23949,12.78862,-1.32971
8,26,True,-2.45102,-0.67399,-0.28151,-2.88664
8,27,False,-0.10662,2.18824,3.5703,-1.37556
8,27,True,-2.026,-1.25,-0.29595,-3.20943
8,28,False,0.40914,0.0,2.06161,-0.86357
8,28,True,-2.56233,0.0,-1.10197,-2.51602
8,29,False,0.0,-2.2606,2.58526,-1.46826
8,29,True,0.0,-1.38971,-0.66002,-2.98165
8,30,False,-3.04601,-1.5208,2.65935,-2.2993
8,30,True,-2.19408,-1.00767,-1.01988,-1.5
8,31,False,0.0,0.0,1.90719,0.0
8,31,True,0.0,0.0,-1.45,0.0
9,0,False,0.0,-3.45,0.0,-3.45
9,0,True,0.0,0.2675,0.0,-0.71608
9,1,False,-3.5,-3.4,-3.5,-3.4
9,1,True,-1.5649,0.37955,-2.45193,-0.46609
9,2,False,0.0,0.0,-3.45,0.0
9,2,True,0.0,0.0,-3.53733,0.0
9,5,False,-3.3,-3.2,0.0,0.0
9,5,True,12.20661,103.03932,0.0,0.0
9,7,False,-4.05284,-2.60495,0.0,0.0
9,7,True,24.51268,106.19917,0.0,0.0
9,9,False,-4.52354,-4.23814,0.0,-3.0
9,9,True,4.52538,68.91873,0.0,-1.67235
9,10,False,0.0,0.0,-3.7292,-2.95
9,10,True,0.0,0.0,21.57579,17.19039
9,11,False,-3.0,-2.9,-3.67968,0.0
9,11,True,3.99887,66.04582,10.30533,0.0
9,13,False,-3.82064,-3.2416,0.0,-2.8
9,13,True,-3.46733,-6.47364,0.0,-4.40316
9,14,False,-3.29346,-2.75,-2.85,0.0
